2026-09-17 11:40:00,694 | INFO | hr_assistant.pipeline |  HR Assistant is building...
2026-09-17 11:40:02,265 | INFO | httpx | HTTP Request: GET https://132bdc42-2c8c-4289-b7ff-36b7c82331c8.sa-east-1-0.aws.cloud.qdrant.io:6333 "HTTP/1.1 200 OK"
2026-09-17 11:40:02,265 | INFO | httpx | HTTP Request: GET https://132bdc42-2c8c-4289-b7ff-36b7c82331c8.sa-east-1-0.aws.cloud.qdrant.io:6333/collections/hr_policy/exists "HTTP/1.1 200 OK"
2026-09-17 11:40:02,270 | INFO | hr_assistant.pipeline | No saved vector store found, building one from scratch..
2026-09-17 11:41:45,422 | INFO | hr_assistant.pipeline |  HR Assistant is building...
2026-09-17 11:41:47,860 | INFO | httpx | HTTP Request: GET https://132bdc42-2c8c-4289-b7ff-36b7c82331c8.sa-east-1-0.aws.cloud.qdrant.io:6333 "HTTP/1.1 200 OK"
2026-09-17 11:41:47,861 | INFO | httpx | HTTP Request: GET https://132bdc42-2c8c-4289-b7ff-36b7c82331c8.sa-east-1-0.aws.cloud.qdrant.io:6333/collections/hr_policy/exists "HTTP/1.1 200 OK"
2026-09-17 11:41:47,864 | INFO | hr_assistant.pipeline | No saved vector store found, building one from scratch..
2026-09-17 11:41:47,894 | INFO | hr_assistant.document_loader | Loaded 1 document(s)
2026-09-17 11:41:47,904 | INFO | hr_assistant.splitter | split document(s) into 9 chunks(s)
2026-09-17 11:41:47,993 | INFO | hr_assistant.embedding | Initializing embedding Model jina-embeddings-v2-base-en
2026-09-17 11:41:49,422 | INFO | httpx | HTTP Request: GET https://132bdc42-2c8c-4289-b7ff-36b7c82331c8.sa-east-1-0.aws.cloud.qdrant.io:6333/collections/hr_policy/exists "HTTP/1.1 200 OK"
2026-09-17 11:41:49,613 | INFO | httpx | HTTP Request: GET https://132bdc42-2c8c-4289-b7ff-36b7c82331c8.sa-east-1-0.aws.cloud.qdrant.io:6333 "HTTP/1.1 200 OK"
2026-09-17 11:41:56,334 | INFO | httpx | HTTP Request: PUT https://132bdc42-2c8c-4289-b7ff-36b7c82331c8.sa-east-1-0.aws.cloud.qdrant.io:6333/collections/hr_policy "HTTP/1.1 200 OK"
2026-09-17 11:42:04,103 | INFO | httpx | HTTP Request: PUT https://132bdc42-2c8c-4289-b7ff-36b7c82331c8.sa-east-1-0.aws.cloud.qdrant.io:6333/collections/hr_policy/points?wait=true "HTTP/1.1 200 OK"
2026-09-17 11:42:04,106 | INFO | hr_assistant.vector_store | Creating retriever...
2026-09-17 11:42:04,109 | INFO | hr_assistant.llm | Initializing LLM 'openai/gpt-oss-120b'
2026-09-17 11:42:04,507 | INFO | hr_assistant.agent | Creating HR agent with 1 tool(s)
2026-09-17 11:42:04,546 | INFO | hr_assistant.agent | HR agent is Ready
2026-09-17 11:42:04,546 | INFO | hr_assistant.pipeline | HR assistant is ready...
